150.93 147.14577 142.60587 141.39667 140.61113 139.37271 137.22234 133.20681 127.51212 120.97951 116.02077 109.39063 105.31881 99.02681 92.63554 86.42884 79.8377 71.06424 65.14137 60.03317 54.80377 47.14554 38.0654 32.89951 28.50831 26.92727 25.8025 22.26282 17.54161 11.53562 7.7885 6.84528 6.71487 10.01893 16.74433 20.80779 25.73835 577.91998 575.28125 571.71816 571.59785 571.3355 572.19128 571.43408 569.23669 565.6792 562.7641 560.19032 555.62599 553.30058 550.31895 547.53837 544.65886 541.80231 536.87206 533.68123 530.6435 526.52753 523.28474 524.95251 531.33114 541.97911 551.79213 558.27819 566.56627 572.01105 575.79669 580.28901 584.62599 590.86415 598.43034 604.83562 610.63086 614.80938
106.425 107.11756 105.51222 103.90687 103.53912 104.4927 105.29258 100.45917 97.71025 99.82526 104.14017 101.265 107.715 105.78 102.72348 103.63194 104.75906 106.44007 108.00579 112.18016 113.34791 109.41145 108.97695              -1 653.38498 654.85958 655.79267 656.72576 656.64655 655.7707 654.61821 653.75909 654.62243 658.80989 658.82921 650.80498 646.28998 648.86998 650.38123 650.03215 650.96163 652.58416 652.58534 651.76221 651.42829 652.84828 657.61602              -1
465.04499 470.74814 476.4513 480.40224 488.64906 490.84499 489.64226 488.00937 478.58999 469.1706 462.07544 466.97999 468.26999 466.31562 467.0775 465.1053 465.05188 472.13999 474.31926 481.39387 491.37602 491.48998 500.51999 498.58499 495.48899 486.32999 471.81536 468.26999 465.14923 457.94999 450.75074 441.95313 437.84681 440.53499 441.82499 443.39206 448.27499 486.97499 488.93778 490.90057 490.58815 490.75995 492.13498 494.24214 492.17081 489.55499 486.93916 480.4196 485.03999 485.03999 481.17554 480.72997 481.03775 484.21366 483.74999 482.15142 482.96755 489.48708 491.48998 494.71499 494.71499 489.59636 480.52499 473.38755 472.78499 472.43749 469.55999 466.68248 459.0489 455.39495 456.01499 450.20999 447.27115 450.20999
541.15498 545.16265 550.39103 556.93693 561.1155 565.47252 572.13286 576.69525 581.48106 586.48497 591.22338 594.71392 598.40483 599.75365 602.08555 605.34886 608.25215 607.58998 609.67107 613.48096 619.5052 624.2777 631.26452 635.07929 636.22796 640.79213 641.65404          -1 573.40498 575.49293 577.71657 582.34999 587.05084 594.56775 600.22626 604.37541 607.26067 611.63001 617.16243 624.10504 629.88567 630.54571 634.26753 640.33192 644.73425 643.06498 644.99809 647.56628 650.41339 653.73346 656.94331 659.34355 659.448 659.31285 659.4319          -1
617.26498 618.37464 619.48429 620.367 621.13498 612.10498 622.42498 619.84498 619.52843 617.90998 611.45998 612.10498 610.81498 609.52498 605.0686 610.16998 610.49736 604.36498 593.00792 591.46498 591.44739 588.88498 586.32258 585.53271 585.54149 581.14498 570.82498 561.15294 554.69998 549.34059 543.15722 539.86498 542.44498 547.60498 553.46978 553.40998 553.30798 622.42498 630.3056 638.18622 644.23042 635.96998 637.90498 640.48498 639.19498 641.60924 631.45498 612.74998 600.49498 595.33498 590.17498 584.34065 587.59498 588.54918 582.43498 578.33421 576.62998 578.27327 570.82498 563.3767 553.17449 543.6255 545.66998 541.15498 533.54907 531.47998 535.22015 544.03532 557.92498 562.43998 575.33998 583.14403 581.78998 577.93565
577.91998 577.8481 577.44044 577.79121 576.8802 574.1084 569.79851 568.32628 563.70337 559.93569 558.52959 556.15553 555.03925 552.17872 549.83162 550.82998 546.50072 545.70427 544.4775 544.15051 539.89526 535.83059 535.2155 534.05695 533.85137 534.7301 532.01208 526.93333 519.93695 516.3076 509.97157 506.20641 502.66127 501.63689 501.43615 502.69292 497.29499 583.72498 583.64148 579.18861 573.21669 567.98366 563.59145 560.88646 559.71405 557.4021 558.56451 559.85124 562.07587 565.02624 573.09874 579.71346 580.49998 578.66301 578.49538 579.69043 577.37506 571.28527 570.80388 571.21827 571.07158 570.91667 571.10127 571.29665 569.32653 566.32439 565.28453 560.95283 560.11902 559.61445 556.0553 553.01001 549.99964 552.11998
374.09999 370.18358 372.80999 372.24652 371.88142 372.05759 371.94823 366.07284 357.6682 357.97499 356.42505 354.83357 352.15157 349.46956 346.84697 351.52499 348.29999 348.89708 348.334                  -1 92.88 91.37812 94.17 99.95484 103.90281 112.48906 116.22274 118.62247 122.59957 127.065 125.6272 128.1377 133.29104 138.44439 144.95082 138.675 143.19 145.7221 144.83481                  -1
166.41 169.3125 170.22136 171.5958 175.11749 188.98499 198.29143 196.07999 196.08759 195.12852 195.10009 193.73238 189.88801 187.20069 190.91999 190.19437 183.95922 181.88185 179.32844 175.7625 174.795                -1 58.05 60.88083 60.13159 61.6104 64.03928 76.11 87.68544 86.43 87.48477 87.84808 88.30297 88.57842 88.967 87.79836 92.235 96.70968 99.55369 100.82411 99.31525 99.61666 103.66909                -1
187.04999 193.49999 201.88499 208.33499 214.13999 221.23499 225.74999 233.48999 237.35999 241.87499 247.67999 256.70999 261.22499 269.60999 274.12499 278.63999 284.44499 287.66999 296.69999 301.85999 305.08499 306.37499 309.59999 314.75999 319.91999 328.30499 336.04499 344.42999 347.65499 357.32999 363.77999 372.80999 381.19499 386.35499 385.06499 390.22499 397.31999 84.495 83.85 82.56 80.625 80.625 78.045 73.53 71.595 68.37 66.435 65.79 59.985 59.985 63.21 70.95 73.53 74.82 77.4 84.495 83.205 85.785 87.075 88.365 90.3 89.655 87.72 82.56 78.69 77.4 72.24 65.79 64.5 63.21 61.275 61.275 63.21 70.305
134.805 133.515 136.095 139.965 149.64 154.8 156.08999 161.89499 167.05499 171.57 172.86 174.795 173.892 172.989 175.60825 170.925 163.83 158.02499 154.8 149.36358 141.71572 136.34308 134.75125 137.03768 135.40793 129.1075 125.75349 122.05012 115.7775 114.4875 112.73834 106.99522 104.4685 95.86415 91.57398 88.92265 83.7281 43.86 39.345 34.185 33.54 33.54 34.83 36.12 39.345 43.86 47.73 51.6 61.92 69.144 76.36799 82.27956 86.43 87.075 89.01 89.655 84.46429 82.51392 78.68999 70.1975 63.80538 58.48467 55.08778 48.9985 42.52163 38.17594 32.766 25.66335 23.61728 19.006 16.14541 14.05379 8.68734 4.03252
